Block,Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Exp
1,daf,1,1,01-May,E,18-Apr,13,0,1
1,daf,1,2,02-May,E,18-Apr,14,0,1
1,daf,1,3,02-May,D,18-Apr,14,1,0
1,daf,1,4,03-May,D,18-Apr,15,1,0
1,daf,1,5,03-May,D,18-Apr,15,1,0
1,daf,1,6,03-May,D,18-Apr,15,1,0
1,daf,1,7,05-May,D,18-Apr,17,1,0
1,daf,1,8,07-May,D,18-Apr,19,1,0
1,daf,1,9,07-May,D,18-Apr,19,1,0
1,daf,1,10,08-May,D,18-Apr,20,1,0
1,ev,2,1,26-Apr,E,18-Apr,8,0,1
1,ev,2,2,29-Apr,M,18-Apr,11,1,0
1,ev,2,3,29-Apr,M,18-Apr,11,1,0
1,ev,2,4,30-Apr,E,18-Apr,12,0,1
1,ev,2,5,02-May,E,18-Apr,14,0,1
1,ev,2,6,03-May,D,18-Apr,15,1,0
1,ev,2,7,04-May,D,18-Apr,16,1,0
1,ev,2,8,05-May,D,18-Apr,17,1,0
1,ev,2,9,06-May,D,18-Apr,18,1,0
1,ev,2,10,08-May,D,18-Apr,20,1,0
1,ev,2,11,09-May,D,18-Apr,21,1,0
1,ev,3,1,28-Apr,M,18-Apr,10,1,0
1,ev,3,2,04-May,D,18-Apr,16,1,0
1,ev,3,3,06-May,D,18-Apr,18,1,0
1,ev,3,4,07-May,D,18-Apr,19,1,0
1,ev,3,5,07-May,D,18-Apr,19,1,0
1,ev,3,6,07-May,D,18-Apr,19,1,0
1,ev,3,7,07-May,D,18-Apr,19,1,0
1,ev,3,8,08-May,D,18-Apr,20,1,0
1,ev,3,9,08-May,D,18-Apr,20,1,0
1,ev,3,10,11-May,D,18-Apr,23,1,0
1,ev,3,11,17-May,D,18-Apr,29,1,0
1,ev,4,1,26-Apr,E,18-Apr,8,0,1
1,ev,4,2,28-Apr,M,18-Apr,10,1,0
1,ev,4,3,29-Apr,M,18-Apr,11,1,0
1,ev,4,4,02-May,E,18-Apr,14,0,1
1,ev,4,5,04-May,D,18-Apr,16,1,0
1,ev,4,6,05-May,D,18-Apr,17,1,0
1,ev,4,7,05-May,D,18-Apr,17,1,0
1,ev,4,8,05-May,D,18-Apr,17,1,0
1,ev,4,9,07-May,D,18-Apr,19,1,0
1,ev,4,10,07-May,D,18-Apr,19,1,0
1,ev,4,11,09-May,D,18-Apr,21,1,0
1,daf,5,1,26-Apr,E,18-Apr,8,0,1
1,daf,5,2,26-Apr,W,18-Apr,8,0,0
1,daf,5,3,28-Apr,M,18-Apr,10,1,0
1,daf,5,4,02-May,D,18-Apr,14,1,0
1,daf,5,5,03-May,D,18-Apr,15,1,0
1,daf,5,6,05-May,D,18-Apr,17,1,0
1,daf,5,7,06-May,D,18-Apr,18,1,0
1,daf,5,8,07-May,D,18-Apr,19,1,0
1,daf,5,9,08-May,D,18-Apr,20,1,0
1,daf,5,10,08-May,D,18-Apr,20,1,0
1,ev,6,1,25-Apr,M,18-Apr,7,1,0
1,ev,6,2,01-May,E,18-Apr,13,0,1
1,ev,6,3,02-May,E,18-Apr,14,0,1
1,ev,6,4,05-May,D,18-Apr,17,1,0
1,ev,6,5,05-May,D,18-Apr,17,1,0
1,ev,6,6,05-May,D,18-Apr,17,1,0
1,ev,6,7,07-May,D,18-Apr,19,1,0
1,ev,6,8,08-May,D,18-Apr,20,1,0
1,ev,6,9,08-May,D,18-Apr,20,1,0
1,ev,6,10,09-May,D,18-Apr,21,1,0
1,daf,7,1,25-Apr,M,18-Apr,7,1,0
1,daf,7,2,26-Apr,M,18-Apr,8,1,0
1,daf,7,3,27-Apr,M,18-Apr,9,1,0
1,daf,7,4,30-Apr,M,18-Apr,12,1,0
1,daf,7,5,03-May,D,18-Apr,15,1,0
1,daf,7,6,03-May,E,18-Apr,15,0,1
1,daf,7,7,03-May,E,18-Apr,15,0,1
1,daf,7,8,07-May,D,18-Apr,19,1,0
1,daf,7,9,08-May,D,18-Apr,20,1,0
1,daf,7,10,08-May,D,18-Apr,20,1,0
1,daf,7,11,14-May,D,18-Apr,26,1,0
1,daf,8,1,26-Apr,M,18-Apr,8,1,0
1,daf,8,2,01-May,E,18-Apr,13,0,1
1,daf,8,3,02-May,E,18-Apr,14,0,1
1,daf,8,4,03-May,D,18-Apr,15,1,0
1,daf,8,5,03-May,E,18-Apr,15,0,1
1,daf,8,6,04-May,D,18-Apr,16,1,0
1,daf,8,7,04-May,D,18-Apr,16,1,0
1,daf,8,8,04-May,D,18-Apr,16,1,0
1,daf,8,9,04-May,D,18-Apr,16,1,0
1,daf,8,10,05-May,D,18-Apr,17,1,0
1,daf,8,11,09-May,D,18-Apr,21,1,0
1,ev,9,1,25-Apr,M,18-Apr,7,1,0
1,ev,9,2,26-Apr,M,18-Apr,8,1,0
1,ev,9,3,29-Apr,E,18-Apr,11,0,1
1,ev,9,4,02-May,E,18-Apr,14,0,1
1,ev,9,5,05-May,D,18-Apr,17,1,0
1,ev,9,6,06-May,D,18-Apr,18,1,0
1,ev,9,7,07-May,D,18-Apr,19,1,0
1,ev,9,8,07-May,D,18-Apr,19,1,0
1,ev,9,9,07-May,D,18-Apr,19,1,0
1,ev,9,10,07-May,D,18-Apr,19,1,0
1,ev,10,1,29-Apr,M,18-Apr,11,1,0
1,ev,10,2,01-May,E,18-Apr,13,0,1
1,ev,10,3,02-May,D,18-Apr,14,1,0
1,ev,10,4,04-May,D,18-Apr,16,1,0
1,ev,10,5,04-May,D,18-Apr,16,1,0
1,ev,10,6,05-May,D,18-Apr,17,1,0
