Block,Strain,Treatment.ID,Temperature,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Exp,Inf
1,SKN,ev,15,1,1,30-May,M,25-May,5,1,0,0
1,SKN,ev,15,1,2,31-May,M,25-May,6,1,0,0
1,SKN,ev,15,1,3,31-May,M,25-May,6,1,0,0
1,SKN,ev,15,1,4,01-Jun,M,25-May,7,1,0,0
1,SKN,ev,15,1,5,01-Jun,M,25-May,7,1,0,0
1,SKN,ev,15,1,6,01-Jun,M,25-May,7,1,0,0
1,SKN,ev,15,1,7,06-Jun,D,25-May,12,1,0,0
1,SKN,ev,15,1,8,08-Jun,D,25-May,14,1,0,0
1,SKN,ev,15,1,9,14-Jun,D,25-May,20,1,0,0
1,N2,ev,15,2,1,05-Jun,E,25-May,11,0,1,0
1,N2,ev,15,2,2,07-Jun,M,25-May,13,1,0,0
1,N2,ev,15,2,3,10-Jun,E,25-May,16,0,1,0
1,N2,ev,15,2,4,16-Jun,D,25-May,22,1,0,0
1,N2,ev,15,2,5,23-Jun,D,25-May,29,1,0,0
1,N2,ev,15,2,6,25-Jun,D,25-May,31,1,0,0
1,N2,daf,15,3,1,08-Jun,E,25-May,14,0,1,0
1,N2,daf,15,3,2,08-Jun,E,25-May,14,0,1,0
1,N2,daf,15,3,3,09-Jun,D,25-May,15,1,0,0
1,N2,daf,15,3,4,10-Jun,E,25-May,16,0,1,0
1,N2,daf,15,3,5,11-Jun,E,25-May,17,0,1,0
1,N2,daf,15,3,6,17-Jun,E,25-May,23,0,1,0
1,N2,daf,15,3,7,24-Jun,E,25-May,30,0,1,0
1,N2,daf,15,3,8,29-Jun,D,25-May,35,1,0,0
1,N2,daf,15,3,9,02-Jul,D,25-May,38,1,0,0
1,SKN,daf,15,4,1,30-May,W,25-May,5,0,0,0
1,SKN,daf,15,4,2,01-Jun,M,25-May,7,1,0,0
1,SKN,daf,15,4,3,01-Jun,M,25-May,7,1,0,0
1,SKN,daf,15,4,4,08-Jun,D,25-May,14,1,0,0
1,SKN,daf,15,4,5,10-Jun,D,25-May,16,1,0,0
1,SKN,daf,15,4,6,11-Jun,E,25-May,17,0,1,0
1,SKN,daf,15,4,7,20-Jun,D,25-May,26,1,0,0
1,SKN,daf,15,4,8,20-Jun,D,25-May,26,1,0,0
1,SKN,daf,15,4,9,21-Jun,D,25-May,27,1,0,0
1,SKN,daf,15,4,10,23-Jun,D,25-May,29,1,0,0
1,SKN,daf,15F,5,1,01-Jun,M,26-May,6,1,0,0
1,SKN,daf,15F,5,2,01-Jun,M,26-May,6,1,0,0
1,SKN,daf,15F,5,3,10-Jun,D,26-May,15,1,0,0
1,SKN,daf,15F,5,4,12-Jun,E,26-May,17,0,1,0
1,SKN,daf,15F,5,5,14-Jun,D,26-May,19,1,0,0
